n,author,title,editorial,pages,genre,subgenre,code
276,FRANCISCO COLOANE,CABO DE HORNOS,ANDRÉS BELLO,159,CLÁSICOS Y CUENTOS,,BL1376
277,JOANNE ROWLING,HARRY POTTER Y LA CÁMARA SECRETA,EMECÉ,291,NOVELA,,BL1377
278,THEA BECKMAN,CRUZADA EN 'JEANS',EDICIONES SM,239,NOVELA,,BL1378
279,HORACIO QUIROGA,"CUENTOS DE AMOR, LOCURA Y MUERTE",ALBA EDITORES,151,CLÁSICOS Y CUENTOS,,BL1379
280,ANÓNIMO,POEMA DE MÍO CID,ZIG-ZAG,160,CLÁSICOS Y CUENTOS,,BL1380
281,MARCO ANTONIO DE LA PARRA,EL AÑO DE LA BALLENA,ALFAGUARA,128,JUVENIL,,BL1381
282,VARIOS AUTORES,"JUSTICIA, DERECHOS HUMANOS Y EL DECRETO LEY DE AMNISTÍA",PNUD,124,ENSAYOS,,BL1382
283,HERMANN HESSE,DEMIAN,ZIG-ZAG,133,CLÁSICOS Y CUENTOS,,BL1383
284,FERNANDO ALEGRÍA,"LAUTARO, JOVEN LIBERTADOR DE ARAUCO",ZIG-ZAG,157,NOVELA,,BL1384
285,JACQUELINE BALCELLS/ANA MARÍA GÜIRALDES,"UN DÍA EN LA VIDA DE JUANITA, PEQUEÑA PATRIOTA",ZIG-ZAG,95,INFANTIL,,BL1385
286,MICHAEL COLEMAN,DETECTIVES DE INTERNET: TECLA DE ESCAPE,EDICIONES B,136,JUVENIL,,BL1386
287,JACQUELINE BALCELLS/ANA MARÍA GÜIRALDES,"UN DÍA EN LA VIDA DE RAMIRO, GRUMETE DE LA ESMERALDA",ZIG-ZAG,93,INFANTIL,,BL1387
288,JULIO VERNE,LOS HIJOS DEL CAPITÁN GRANT,DIFUSIÓN,214,CLÁSICOS Y CUENTOS,,BL1388
289,VARIOS AUTORES,COCINA NATURAL: 51 RECETAS,THE BHAKTIVEDANTA BOOK TRUST,45,COCINA,,BL1389
290,EDGARD ALLAN POE,NARRACIONES EXTRAORDINARIAS,CENTRO GRÁFICO,194,CLÁSICOS Y CUENTOS,,BL1390
291,EUGENE IONESCO,LA CANTANTE CALVA/JACOBO O LA SUMISIÓN/EL PORVENIR ESTÁ EN LOS HUEVOS,SIN EDITORIAL,99,TEATRO,,BL1391
292,CARLOS DROGUETT,ELOY,DANIEL VERGARA,126,NOVELA,,BL1392
293,PAUL STEWART/CHRIS RIDDELL,MÁS ALLÁ DEL BOSQUE,DIAGONAL DEL GRUP 62,271,JUVENIL,,BL1393
294,JEAN CLAUDE ALAIN,LOS MUCHACHOS DE DUBLÍN,EDICIONES SM,181,JUVENIL,,BL1394
295,JULIO VERNE,ALREDEDOR DE LA LUNA,ANDRÉS BELLO,97,CLÁSICOS Y CUENTOS,,BL1395
296,VARIOS AUTORES,DESASTRE INMINENTE,UDP ESCUELA DE LITERATURA CREATIVA,112,MISCELÁNEAS LITERARIAS,,BL1396
297,FRANZ KAFKA,LA METAMORFOSIS,COLICHEUQUE,79,CLÁSICOS Y CUENTOS,,BL1397
298,EDUARDO BASTÍAS GUZMÁN,DONDE VUELAN LOS CÓNDORES: UNA PESADILLA Y UNA ESPERANZA,ANDRÉS BELLO,110,JUVENIL,,BL1398
299,ROALD DAHL,EL SUPERZORRO,ALFAGUARA,161,INFANTIL,,BL1399
300,CÉSAR PARRA,GUÍA MÁGICA DE SANTIAGO,RIL EDITORES,207,JUVENIL,,BL1400
301,MALBA TAHAN,EL HOMBRE QUE CALCULABA,CENTRO GRÁFICO,183,NOVELA,,BL1401
302,ALAN BATTERSBY,THIS TIME IT'S PERSONAL,CAMBRIDGE UNIVERSITY PRESS,108,NOVELA INGLÉS,,BL1402
303,MICHAEL KENNEDY,EL DESARROLLO DE PRODUCTOS EN TOYOTA,DEUSTO,240,ECONOMÍA Y ADMINISTRACIÓN,,BL1403
304,JODY HOFFER GITTELL,EL ESTILO SOUTHWEST AIRLINES,DEUSTO,310,ECONOMÍA Y ADMINISTRACIÓN,,BL1404
305,BILL CAPODAGLI/LYNN JACKSON,LA GESTIÓN AL ESTILO DISNEY,DEUSTO,215,ECONOMÍA Y ADMINISTRACIÓN,,BL1405
306,CÉSAR VIDAL,EL HIJO DEL HOMBRE,SUMA,502,NOVELA,,BL1406
