"n","author","title","editorial","pages","genre","subgenre","code"
"363","VARIOS AUTORES","LAS MÁS GRANDES OBRAS MUSICALES DE TODOS LOS TIEMPOS: BEETHOVEN","ERCILLA","95","BIOGRAFÍAS Y TESTIMONIOS","","BL1463"
"364","GABRIEL GARCÍA MÁRQUEZ","LA INCREÍBLE Y TRISTE HISTORIA DE LA CÁNDIDA ERÉNDIDA Y DE SU ABUELA DESALMADA: SIETE CUENTOS","SUDAMERICANA","163","CLÁSICOS Y CUENTOS","","BL1464"
"365","DARÍO OSES","ROCKEROS CELESTES","ANDRÉS BELLO","94","NOVELA","","BL1465"
"366","SÓFOCLES","EDIPO REY","CENTRO GRÁFICO","95","TEATRO","","BL1466"
"367","MARIO BENEDETTI","LA TREGUA","SUDAMERICANA","163","NOVELA","","BL1467"
"368","ANTONIO MACHADO","POESÍA","ANDRÉS BELLO","156","POESÍA","","BL1468"
"369","MAURICE LEBLANC","ARSENIO LUPIN, CABALLERO LADRÓN","ANDRÉS BELLO","178","NOVELA","","BL1469"
"370","JULIO VERNE","LOS HIJOS DEL CAPITÁN GRANT","ANDRÉS BELLO","216","CLÁSICOS Y CUENTOS","","BL1470"
"371","HERNÁN DEL SOLAR","LA POROTA","ZIG-ZAG","110","INFANTIL","","BL1471"
"372","GABRIEL GARCÍA MÁRQUEZ","LOS FUNERALES DE LA MAMÁ GRANDE","SUDAMERICANA","195","CLÁSICOS Y CUENTOS","","BL1472"
"373","ROBERT LOUIS STEVENSON","LA ISLA DEL TESORO","ZIG-ZAG","149","CLÁSICOS Y CUENTOS","","BL1473"
"374","MANUEL ROJAS","LA CIUDAD DE LOS CÉSARES","ZIG-ZAG","153","CLÁSICOS Y CUENTOS","","BL1474"
"375","ARIEL SENOSIAIN","LO SUFICIENTEMENTE LOCO: UNA BIOGRAFÍA DE MARCELO BIELSA","SUDAMERICANA","187","BIOGRAFÍAS Y TESTIMONIOS","PRESTADO HERNÁN HIZAUT","BL1475"
"376","GEORGE ORWELL","LA GRANJA DE LOS ANIMALES","CENTRO GRÁFICO","103","NOVELA","PRESTADO JORGE HIZAUT","BL1476"
"","PEARL BUCK","LA BUENA TIERRA","CENTRO GRÁFICO","255","NOVELA","PRESTADO JORGE HIZAUT","BL1477"
"","HERMANN HESSE","DEMIAN","ZIG-ZAG","127","CLÁSICOS Y CUENTOS","","BL1478"
"","JOHN RONALD REUEL TOLKIEN","EL HOBBIT","MINOTAURO","310","CLÁSICOS Y CUENTOS","","BL1479"
"","HERNÁN DEL SOLAR","CUANDO EL VIENTO DESAPARECIÓ Y MAC, EL MICROBIO DESCONOCIDO","ZIG-ZAG","174","JUVENIL","","BL1480"
"","LUCÍA LARAGIONE","AMORES QUE MATAN","ALFAGUARA","139","JUVENIL","","BL1481"
"","ARIEL DORFMAN","SIN IR MÁS LEJOS","PEHUÉN","179","ENSAYOS","","BL1482"
"","GABRIEL GARCÍA MÁRQUEZ","CIEN AÑOS DE SOLEDAD","SUDAMERICANA","352","NOVELA","","BL1483"
"","PEARL BUCK","LA BUENA TIERRA","CENTRO GRÁFICO","255","NOVELA","","BL1484"
"","RICHARD BACH","JUAN SALVADOR GAVIOTA","JAVIER VERGARA EDITOR","85","CLÁSICOS Y CUENTOS","","BL1485"
"","ERNESTO SÁBATO","EL TÚNEL","SEIX BARRAL","137","NOVELA","","BL1486"
"","MIGUEL DE UNAMUNO","NADA MENOS QUE TODO UN HOMBRE","COLICHEUQUE","74","NOVELA","","BL1487"
"","CAMILO CRUZ","LA VACA","TALLER DEL ÉXITO","183","AUTOAYUDA","","BL1488"
"","ALBERTO BLEST GANA","MARTÍN RIVAS","ZIG-ZAG","405","CLÁSICOS Y CUENTOS","","BL1489"
"","DIANA SHAW","DÍAS DE TERROR","NORMA","247","JUVENIL","","BL1490"
"","VARIOS AUTORES","3º MEDIO TEXTOS DE ESTUDIOS: MATEMÁTICA, CON GUÍA PARA LOS PADRES","REVISTA VEA","221","EDUCACIÓN","","BL1491"
"","JACQUELINE BALCELLS/ANA MARÍA GÜIRALDES","TRECE CASOS MISTERIOSOS","ANDRÉS BELLO","123","JUVENIL","","BL1492"
"","JACQUELINE BALCELLS/ANA MARÍA GÜIRALDES","EMILIA Y LA DAMA NEGRA","ANDRÉS BELLO","140","JUVENIL","","BL1493"
"","EVA PIQUER","ALICIA EN EL PAÍS DE LA TELEVISIÓN","EDICIONES SM","139","NOVELA","","BL1494"
"","JOHN AJVIDE LINDQVIST","DÉJAME ENTRAR","ESPASA","455","NOVELA","","BL1495"
"","VARIOS AUTORES","POLÍTICAS PÚBLICAS PARA LA INFANCIA","COMISIÓN NACIONAL CHILENA DE COOPERACIÓN CON UNESCO","192","EDUCACIÓN","","BL1496"
"","ALEX HALEY","RAÍCES","OVEJA NEGRA","470","NOVELA","","BL1497"
"","ANÓNIMO","LAS MIL Y UNA NOCHES","ERCILLA","190","CLÁSICOS Y CUENTOS","","BL1498"
"","MIGUEL DE UNAMUNO","NIEBLA","ERCILLA","255","NOVELA","","BL1499"
"","MARIO BENEDETTI","LA TREGUA","SIN EDITORIAL","144","NOVELA","","BL1500"
"","ISABEL ALLENDE","INÉS DEL ALMA MÍA","RANDOM HOUSE MONDADORI","346","NOVELA","","BL1501"
"","PEDRO CALDERÓN DE LA BARCA","LA VIDA ES SUEÑO","ZIG-ZAG","154","TEATRO","","BL1502"
"","BENITO PÉREZ GALDÓS","MARIANELA","ALBA EDITORES","208","NOVELA","","BL1503"
"","SÓFOCLES","EDIPO REY","ALBA EDITORES","72","TEATRO","","BL1504"
"","VARIOS AUTORES","ECOS URBANOS","ALFAGUARA","144","CLÁSICOS Y CUENTOS","","BL1505"
"","JORGE LUIS BORGES","EL ALEPH","ERCILLA","184","CLÁSICOS Y CUENTOS","","BL1506"
"","ALBERT CAMUS","LA PESTE","ERCILLA","189","NOVELA","","BL1507"
"","MARTÍN ADÁN","LA CASA DE CARTÓN","PEISA","133","NOVELA","","BL1508"
"","ERIC WILSON","PESADILLA EN VANCÚVER","EDICIONES SM","161","JUVENIL","","BL1509"
"","FRIEDRICH NIETZCHE","EL ANTICRISTO","GRADIFCO","126","FILOSOFÍA Y PSICOLOGÍA","","BL1510"
"","FRANZ KAFKA","LA METAMORFOSIS","ALBA","94","CLÁSICOS Y CUENTOS","","BL1511"
"","AGATHA CHRISTIE","EL PUDDING DE NAVIDAD","MOLINO","208","NOVELA","POLICIAL","BL1512"
"","HOMERO","LA ILIADA","ERCILLA","316","CLÁSICOS Y CUENTOS","","BL1513"
"","VARIOS AUTORES","CUENTOS DE CHILE 2","ZIG-ZAG","122","CLÁSICOS Y CUENTOS","","BL1514"
"","MARTA BRUNET","MONTAÑA ADENTRO","UNIVERSITARIA","84","NOVELA","","BL1515"
"","DAVID EDDINGS","LOS GUARDIANES DEL OESTE: CRÓNICAS DE MALLOREA I","PLANETA DeAGOSTINI","427","NOVELA","FANTÁSTICA","BL1516"
